,Unnamed: 0,date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,district,city,zip code,region,exchange rate,total cost,label,lat,lng
0,0,2014/5/2 0:00,5,2.5,2820,67518,2,0,0,3,2820,0,1979,2014,23525 SE 32nd Way,Issaquah,WA 98029,USA,6.784829586,227425.2764,0,47.57946,-122.0252865
1,1,2014/5/2 0:00,2,1,1210,9400,1,0,0,2,1210,0,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA,6.24312897,194002.1791,0,47.53423,-122.3601838
2,2,2014/5/2 0:00,4,2.5,2200,9397,2,0,0,3,2200,0,1987,2000,5214 S 292nd St,Auburn,WA 98001,USA,6.010127234,223736.5015,0,47.3405612,-122.2690622
3,3,2014/5/2 0:00,3,1.5,1200,9720,1,0,0,4,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,7.560375075,178112.4276,0,47.4225222,-122.1531163
4,4,2014/5/2 0:00,3,1.75,1370,5858,1,0,0,3,1370,0,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,USA,6.543940818,252871.7691,0,47.381568,-122.312904
5,5,2014/5/2 0:00,4,2,1480,8625,1,0,0,4,1480,0,1974,0,2019 Aberdeen Pl SE,Renton,WA 98055,USA,6.685126872,256904.5271,0,47.4620172,-122.1927955
6,6,2014/5/2 0:00,3,1.5,1180,10277,1,0,0,3,1180,0,1983,2009,12425 415th Ave SE,North Bend,WA 98045,USA,7.796227913,200001.7584,0,47.4880635,-121.7870555
7,7,2014/5/2 0:00,3,2.5,2090,10834,1,0,0,4,1360,730,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA,7.628943769,269037.6299,0,47.3535951,-122.3032528
8,8,2014/5/2 0:00,3,3,1850,19966,1,0,0,4,1090,760,1992,0,23017 SE 281st Ct,Maple Valley,WA 98038,USA,7.825561964,272738.9883,0,47.3492918,-122.0340468
9,9,2014/5/2 0:00,2,2.5,1630,1368,2,0,0,3,1280,350,2009,0,5944-6082 Delridge Way SW,Seattle,WA 98106,USA,7.553219422,294286.1419,0,47.5495409,-122.3622773
10,10,2014/5/2 0:00,3,2.5,2540,5050,2,0,0,3,2540,0,2006,0,29734 215th Terrace SE,Kent,WA 98042,USA,6.911986808,275658.8737,0,47.3358669,-122.0549459
